filename,content
Cleaning_Data_with_OpenRefine.md,"Cleaning Data with OpenRefine
-------------------------------------------------------------------------------------------------
[](https://youtu.be/zxEtfHseE84)
This session covers the use of OpenRefine for data cleaning, focusing on resolving entity discrepancies:
 Data Upload and Project Creation: Import data into OpenRefine and create a new project for analysis.
 Faceting Data: Use text facets to group similar entries and identify frequency of address crumbs.
 Clustering Methodology: Apply clustering algorithms to merge similar entries with minor differences, such as punctuation.
 Manual and Automated Clustering: Learn to merge clusters manually or in one go, trusting the system’s clustering accuracy.
 Entity Resolution: Clean and save the data by resolving multiple versions of the same entity using Open Refine.
Here are links used in the video:
 OpenRefine software
 Dataset for OpenRefine
Previous
Data Preparation in the Editor
Next
Profiling Data with Python"
Tools_in_Data_Science.md,"Topic Modeling
-------------------------------------------------------
[](https://youtu.be/eQUNhq91DlI)
You’ll learn to use text embeddings to find text similarity and use that to create topics automatically from text, covering:
 Embeddings: How large language models convert text into numerical representations.
 Similarity Measurement: Understanding how similar embeddings indicate similar meanings.
 Embedding Visualization: Using tools like Tensorflow Projector to visualize embedding spaces.
 Embedding Applications: Using embeddings for tasks like classification and clustering.
 OpenAI Embeddings: Using OpenAI’s API to generate embeddings for text.
 Model Comparison: Exploring different embedding models and their strengths and weaknesses.
 Cosine Similarity: Calculating cosine similarity between embeddings for more reliable similarity measures.
 Embedding Cost: Understanding the cost of generating embeddings using OpenAI’s API.
 Embedding Range: Understanding the range of values in embeddings and their significance.
Here are the links used in the video:
 Jupyter Notebook
 Tensorflow projector
 Embeddings guide
 Embeddings reference
 Clustering on scikit-learn
 Massive text embedding leaderboard (MTEB)
 gte-large-en-v1.5 embedding model
 Embeddings similarity threshold"
Correlation_with_Excel.md,"Correlation with Excel
----------------------------------------------------------------------------
[](https://youtu.be/lXHCyhO7DmY)
You’ll learn to calculate and interpret correlations using Excel, covering:
 Enabling the Data Analysis Tool Pack: Steps to enable the Excel data analysis tool pack.
 Correlation Analysis: Understanding statistical association between variables.
 Creating a Correlation Matrix: Steps to generate and interpret a correlation matrix.
 Scatterplots and Trendlines: Plotting data and adding trend lines to visualize correlations.
 Analyzing Results: Comparing correlation coefficients and understanding their implications.
 Insights and Further Analysis: Interpreting scatterplots and planning further analysis for deeper insights.
Here are the links used in the video:
 Understand correlation
 COVID-19 vaccinations data explorer - Website
 COVID-19 vaccinations - Correlations Excel file
Previous
6. Data Analysis
Next
Regression with Excel"
Python_tools__uv.md,"Python tools: uv
-------------------------------------------
Install uv.
uv is a fast Python package and project manager that’s becoming the standard for running Python scripts. It replaces tools like pip, conda, pipx, poetry, pyenv, twine, and virtualenv into one, enabling:
 Python Version Management: uv installs and manages multiple Python versions, allowing developers to specify and switch between versions seamlessly.
 Virtual Environment Handling: It automates the creation and management of virtual environments, ensuring isolated and consistent development spaces for different projects.
 Dependency Management: With support for the pyproject.toml format, uv enables precise specification of project dependencies. It maintains a universal lockfile, uv.lock, to ensure reproducible installations across different systems.
 Project Execution: The uv run command allows for the execution of scripts and applications within the managed environment, streamlining development workflows.
Here are some commonly used commands:
Replace python with uv. This automatically installs Python and dependencies.
uv run script.py
Run a Python script directly from the Internet
uv run https://example.com/script.py
Run a Python script without installing
uvx ruff
Use a specific Python version
uv run --python 3.11 script.py
Add dependencies to your script
uv add httpx --script script.py
Create a virtual environment at .venv
uv venv
Install packages to your virtual environment
uv pip install httpxCopy to clipboardErrorCopied
Here are some useful tools you can run with uvx without installation:
uvx --from jupyterlab jupyter-lab   Jupyter notebook
uvx marimo      Interactive notebook
uvx llm         Chat with LLMs from the command line
uvx openwebui   Chat with LLMs via the browser
uvx httpie      Make HTTP requests
uvx datasette   Browse SQLite databases
uvx markitdown  Convert PDF to Markdown
uvx yt-dlp      Download YouTube videos
uvx asciinema   Record your terminal and play itCopy to clipboardErrorCopied
uv uses inline script metadata for dependencies.
The eliminates the need for requirements.txt or virtual environments. For example:
/// script
requires-python = "">=3.11""
dependencies = [
""httpx"",
""pandas"",
]
///Copy to clipboardErrorCopied
[](https://youtu.be/igWlYl3asKw?t=1240)
Previous
AI Code Editors: GitHub Copilot
Next
JavaScript tools: npx"
Function_Calling.md,"Function Calling with OpenAI
----------------------------------------------------------------------------------
Function Calling allows Large Language Models to convert natural language into structured function calls. This is perfect for building chatbots and AI assistants that need to interact with your backend systems.
OpenAI supports Function Calling – a way for LLMs to suggest what functions to call and how.
[](https://youtu.be/aqdWSYWCLI)
Here’s a minimal example using Python and OpenAI’s function calling that identifies the weather in a given location.
/// script
requires-python = "">=3.11""
dependencies = [
""httpx"",
]
///
import httpx
import os
from typing import Dict, Any
def querygpt(userinput: str, tools: list[Dict[str, Any]]) -> Dict[str, Any]:
    response = httpx.post(
        ""https://api.openai.com/v1/chat/completions"",
        headers={
            ""Authorization"": f""Bearer {os.getenv('OPENAIAPIKEY')}"",
            ""Content-Type"": ""application/json"",
        },
        json={
            ""model"": ""gpt-4o-mini"",
            ""messages"": [{""role"": ""user"", ""content"": userinput}],
            ""tools"": tools,
            ""toolchoice"": ""auto"",
        },
    )
    return response.json()[""choices""][0][""message""]
WEATHERTOOL = {
    ""type"": ""function"",
    ""function"": {
        ""name"": ""getweather"",
        ""description"": ""Get the current weather for a location"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""location"": {""type"": ""string"", ""description"": ""City name or coordinates""}
            },
            ""required"": [""location""],
            ""additionalProperties"": False,
        },
        ""strict"": True,
    },
}
if name == ""main"":
    response = querygpt(""What is the weather in San Francisco?"", [WEATHERTOOL])
    print([toolcall[""function""] for toolcall in response[""toolcalls""]])Copy to clipboardErrorCopied
How to define functions
The function definition is a JSON schema with a few OpenAI specific properties.
See the Supported schemas.
Here’s an example of a function definition for scheduling a meeting:
MEETINGTOOL = {
    ""type"": ""function"",
    ""function"": {
        ""name"": ""schedulemeeting"",
        ""description"": ""Schedule a meeting room for a specific date and time"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""date"": {
                    ""type"": ""string"",
                    ""description"": ""Meeting date in YYYY-MM-DD format""
                },
                ""time"": {
                    ""type"": ""string"",
                    ""description"": ""Meeting time in HH:MM format""
                },
                ""meetingroom"": {
                    ""type"": ""string"",
                    ""description"": ""Name of the meeting room""
                }
            },
            ""required"": [""date"", ""time"", ""meetingroom""],
            ""additionalProperties"": False
        },
        ""strict"": True
    }
}Copy to clipboardErrorCopied
How to define multiple functions
You can define multiple functions by passing a list of function definitions to the tools parameter.
Here’s an example of a list of function definitions for handling employee expenses and calculating performance bonuses:
tools = [
    {
        ""type"": ""function"",
        ""function"": {
            ""name"": ""getexpensebalance"",
            ""description"": ""Get expense balance for an employee"",
            ""parameters"": {
                ""type"": ""object"",
                ""properties"": {
                    ""employeeid"": {
                        ""type"": ""integer"",
                        ""description"": ""Employee ID number""
                    }
                },
                ""required"": [""employeeid""],
                ""additionalProperties"": False
            },
            ""strict"": True
        }
    },
    {
        ""type"": ""function"",
        ""function"": {
            ""name"": ""calculateperformancebonus"",
            ""description"": ""Calculate yearly performance bonus for an employee"",
            ""parameters"": {
                ""type"": ""object"",
                ""properties"": {
                    ""employeeid"": {
                        ""type"": ""integer"",
                        ""description"": ""Employee ID number""
                    },
                    ""currentyear"": {
                        ""type"": ""integer"",
                        ""description"": ""Year to calculate bonus for""
                    }
                },
                ""required"": [""employeeid"", ""currentyear""],
                ""additionalProperties"": False
            },
            ""strict"": True
        }
    }
]Copy to clipboardErrorCopied
Best Practices:
1. Use Strict Mode
    Always set strict: True to ensure valid function calls
    Define all required parameters
    Set additionalProperties: False
2. Use tool choice
    Set toolchoice: ""required"" to ensure that the model will always call one or more tools
    The default is toolchoice: ""auto"" which means the model will choose a tool only if appropriate
3. Clear Descriptions
    Write detailed function and parameter descriptions
    Include expected formats and units
    Mention any constraints or limitations
4. Error Handling
    Validate function inputs before execution
    Return clear error messages
    Handle missing or invalid parameters
Previous
Hybrid RAG with TypeSense
Next
LLM Agents"
7._Data_Visualization.md,"Data visualization
================================================================
[](https://youtu.be/XkxRDql00UU)
Previous
Network Analysis in Python
Next
Visualizing Forecasts with Excel"
Markdown.md,"Documentation: Markdown
---------------------------------------------------------------
Markdown is a lightweight markup language for creating formatted text using a plain-text editor. It’s the standard for documentation in software projects and data science notebooks.
Watch this introduction to Markdown (19 min):
[](https://youtu.be/HUBNt18RFbo)
Common Markdown syntax:
Heading 1
Heading 2
bold and italic
- Bullet point
- Another point
  - Nested point
1. Numbered list
2. Second item
Link text
python
Code block
def hello():
    print(""Hello"")
> BlockquoteCopy to clipboardErrorCopied
There is also a GitHub Flavored Markdown standard which is popular. This includes extensions like:
- [ ] Incomplete task
- [x] Completed task
~~Strikethrough~~
Tables:
| Column 1 | Column 2 |
|----------|----------|
| Cell 1   | Cell 2   |
Copy to clipboardErrorCopied
Tools for working with Markdown:
 markdown2: Python library to convert Markdown to HTML
 markdownlint: Linting
 Markdown All in One: VS Code extension
 pandoc: Convert between formats
Previous
2. Deployment Tools
Next
Images: Compression"
JavaScript_tools__npx.md,"JavaScript tools: npx
------------------------------------------------------
npx is a command-line tool that comes with npm (Node Package Manager) and allows you to execute npm package binaries and run one-off commands without installing them globally. It’s essential for modern JavaScript development and data science workflows.
For data scientists, npx is useful when:
 Running JavaScript-based data visualization tools
 Converting notebooks and documents
 Testing and formatting code
 Running development servers
Here are common npx commands:
Run a package without installing
npx http-server .                Start a local web server
npx prettier --write .           Format code or docs
npx eslint .                     Lint JavaScript
npx typescript-node script.ts    Run TypeScript directly
npx esbuild app.js               Bundle JavaScript
npx jsdoc .                      Generate JavaScript docs
Run specific versions
npx prettier@3.2 --write .        Use prettier 3.2
Execute remote scripts (use with caution!)
npx github:user/repo            Run from GitHubCopy to clipboardErrorCopied
Watch this introduction to npx (6 min):
[](https://youtu.be/55WaAoZVtQ)
Previous
Python tools: uv
Next
Unicode"
Scraping__Live_Sessions.md,"Scraping: Live Sessions
-----------------------------------------------------------------------------
[](https://youtu.be/cAriusuJsmw)
Fundamentals of web scraping with urllib and BeautifulSoup
[](https://youtu.be/I3auyTYORTs)
Intermediate web scraping use of cookies
[](https://youtu.be/DryMIxMf3VU)
XML intro and scraping
[](https://youtu.be/8SjvsjtaYg)
Previous
Scraping emarketer.com
Next
5. Data Preparation"
LLM_Video_Screen-Scraping.md,"LLM Video Screen-Scraping
-------------------------------------------------------------------------------------
Video screen-scraping with LLMs is a powerful technique for extracting structured data from screen recordings. This approach works with any visible screen content and bypasses traditional web scraping limitations like authentication or anti-scraping measures.
[](https://youtu.be/2G1LqS6qO5s)
Key benefits:
 No setup cost or authentication handling
 Works with any visible screen content
 Full control over data exposure
 Extremely cost-effective (< $0.001 per short video)
 Bypasses anti-scraping measures
 Handles varying formats and layouts
Quick Start Example
Here’s a basic workflow using Google’s AI Studio and Gemini:
1. Record the Screen
    Use QuickTime (Mac) or Windows Game Bar (Windows), Screen2Gif, or any tool of your choice
    Select specific screen area containing target data
    Record scrolling/clicking through content
    Keep recordings short (30-60 seconds)
2. Process with Gemini
    Upload to Google AI Studio
    Select Gemini 1.5 Flash (cost-effective)
    Prompt for structured output (JSON/CSV)
Example prompt for extracting tabular data:
Turn this video into a JSON array where each item has:
{
  ""date"": ""yyyy-mm-dd"",
  ""amount"": float
}Copy to clipboardErrorCopied
Cost Calculation
Gemini 1.5 Flash pricing (as of January 2025):
 $0.075 per million tokens
 Cost per frame ~ 250 tokens
 Cost for 24 hours of video at 1 frame per second ~ $1.62!
Best Practices
1. Recording Quality
    Frame only relevant content
    Pause briefly on important data
    Maintain consistent scroll speed
    Use high contrast display settings
2. Data Validation
    Always verify critical data manually
    Use spot-checking for large datasets
    Consider running multiple passes
    Log and review any anomalies
3. Error Handling
    Request data in simple formats (CSV/JSON)
    Include validation in prompts
    Split long videos into segments
    Handle missing/partial data gracefully
Use Cases
1. Data Extraction
    Email content aggregation
    Dashboard metrics collection
    Protected web content
    Legacy system data
2. Data Journalism
    Public records analysis
    Time-series data collection
    Interactive visualization data
    Government website scraping
3. Business Intelligence
    Competitor pricing analysis
    Market research data
    Internal system migration
    Legacy report conversion
Tools:
 Google AI Studio: Process videos with Gemini
 QuickTime Player: Screen recording (Mac)
 Screen2Gif: Screen recording (Windows)
 OBS Studio: Advanced screen recording (cross-platform)
References:
 Simon Willison’s Video Scraping Tutorial
 Gemini API Documentation
Previous
LLM Website Scraping
Next
Web Automation with Playwright"
Vector_databases.md,"Vector Databases
----------------------------------------------------------
Vector databases are specialized databases that store and search vector embeddings efficiently.
Use vector databases when your embeddings exceed available memory or when you want it run fast at scale. (This is important. If your code runs fast and fits in memory, you DON’T need a vector database. You can can use numpy for these tasks.)
Vector databases are an evolving space.
The first generation of vector databases were written in C and typically used an algorithm called HNSW (a way to approximately find the nearest neighbor). Some popular ones are:
 chroma 19,637 ⭐ May 2025
 qdrant 23,341 ⭐ May 2025
 lancedb 6,327 ⭐ May 2025
 faiss 34,684 ⭐ May 2025
 milvus 34,476 ⭐ May 2025
 weaviate 13,222 ⭐ May 2025
In addition, most relational databases now support vector search. For example:
 DuckDB: Supports vector search with vss.
 SQLite: Supports vector search with sqlite-vec.
 PostgreSQL: Supports vector search with pgvector.
Take a look at this Vector DB Comparison.
Watch this Vector Database Tutorial (3 min):
[](https://youtu.be/klTvEwg3oJ4)
ChromaDB
Here’s a minimal example using Chroma:
/// script
requires-python = ""==3.12""
dependencies = [
""chromadb"",
""sentence-transformers"",
]
///
import chromadb
from chromadb.utils import embeddingfunctions
from sentencetransformers import SentenceTransformer
async def setupvectordb():
    """"""Initialize Chroma DB with an embedding function.""""""
    sentencetransformeref = embeddingfunctions.SentenceTransformerEmbeddingFunction(
        modelname=""BAAI/bge-base-en-v1.5""
    )
    client = chromadb.PersistentClient(path=""./vectordb"")
    collection = client.createcollection(
        name=""documents"",
        embeddingfunction=sentencetransformeref
    )
    return collection
async def searchsimilar(collection, query: str, nresults: int = 3) -> list[dict]:
    """"""Search for documents similar to the query.""""""
    d = collection.query(querytexts=[query], nresults=nresults)
    return [
        {""id"": id, ""text"": text, ""distance"": distance}
        for id, text, distance in zip(d[""ids""][0], d[""documents""][0], d[""distances""][0])
    ]
async def main():
    collection = await setupvectordb()
    Add some documents
    collection.add(
        documents=[""Apple is a fruit"", ""Orange is citrus"", ""Computer is electronic""],
        ids=[""1"", ""2"", ""3""]
    )
    Search
    results = await searchsimilar(collection, ""fruit"")
    print(results)
if name == ""main"":
    import asyncio
    asyncio.run(main())Copy to clipboardErrorCopied
LanceDB
Here’s the same example using LanceDB:
/// script
requires-python = ""==3.12""
dependencies = [
""lancedb"",
""pyarrow"",
""sentence-transformers"",
]
///
import lancedb
import pyarrow as pa
from sentencetransformers import SentenceTransformer
async def setupvectordb():
    """"""Initialize LanceDB with an embedding function.""""""
    model = SentenceTransformer(""BAAI/bge-base-en-v1.5"")
    db = lancedb.connect(""./vectordb"")
    Create table with schema for documents
    table = db.createtable(
        ""documents"",
        schema=pa.schema([
            pa.field(""id"", pa.string()),
            pa.field(""text"", pa.string()),
            pa.field(""vector"", pa.list(pa.float32(), listsize=768))
        ])
    )
    return table, model
async def searchsimilar(table, model, query: str, nresults: int = 3) -> list[dict]:
    """"""Search for documents similar to the query.""""""
    queryembedding = model.encode(query)
    results = table.search(queryembedding).limit(nresults).tolist()
    return [{""id"": r[""id""], ""text"": r[""text""], ""distance"": float(r[""distance""])} for r in results]
async def main():
    table, model = await setupvectordb()
    Add some documents
    documents = [""Apple is a fruit"", ""Orange is citrus"", ""Computer is electronic""]
    embeddings = model.encode(documents)
    table.add(data=[
        {""id"": str(i), ""text"": text, ""vector"": embedding}
        for i, (text, embedding) in enumerate(zip(documents, embeddings), 1)
    ])
    Search
    results = await searchsimilar(table, model, ""fruit"")
    print(results)
if name == ""main"":
    import asyncio
    asyncio.run(main())Copy to clipboardErrorCopied
DuckDB
Here’s the same example using DuckDB:
/// script
requires-python = ""==3.12""
dependencies = [
""duckdb"",
""sentence-transformers"",
]
///
import duckdb
from sentencetransformers import SentenceTransformer
async def setupvectordb() -> tuple[duckdb.DuckDBPyConnection, SentenceTransformer]:
    """"""Initialize DuckDB with VSS extension and embedding model.""""""
    Initialize model
    model = SentenceTransformer(""BAAI/bge-base-en-v1.5"")
    vectordim = model.getsentenceembeddingdimension()
    Setup DuckDB with VSS extension
    conn = duckdb.connect("":memory:"")
    conn.installextension(""vss"")
    conn.loadextension(""vss"")
    Create table with vector column
    conn.execute(f""""""
        CREATE TABLE documents (
            id VARCHAR,
            text VARCHAR,
            vector FLOAT[{vectordim}]
        )
    """""")
    Create HNSW index for vector similarity search
    conn.execute(""CREATE INDEX vectoridx ON documents USING HNSW (vector)"")
    return conn, model
async def searchsimilar(conn: duckdb.DuckDBPyConnection, model: SentenceTransformer,
                        query: str, nresults: int = 3) -> list[dict]:
    """"""Search for documents similar to query using vector similarity.""""""
    Encode query to vector
    queryvector = model.encode(query).tolist()
    Search using HNSW index with explicit FLOAT[] cast
    results = conn.execute(""""""
        SELECT id, text, arraydistance(vector, CAST(? AS FLOAT[768])) as distance
        FROM documents
        ORDER BY arraydistance(vector, CAST(? AS FLOAT[768]))
        LIMIT ?
    """""", [queryvector, queryvector, nresults]).fetchall()
    return [{""id"": r[0], ""text"": r[1], ""distance"": float(r[2])} for r in results]
async def main():
    conn, model = await setupvectordb()
    Add sample documents
    documents = [""Apple is a fruit"", ""Orange is citrus"", ""Computer is electronic""]
    embeddings = model.encode(documents).tolist()
    Insert documents and vectors
    conn.executemany(""""""
        INSERT INTO documents (id, text, vector)
        VALUES (?, ?, ?)
    """""", [(str(i), text, embedding)
          for i, (text, embedding) in enumerate(zip(documents, embeddings), 1)])
    Search similar documents
    results = await searchsimilar(conn, model, ""fruit"")
    print(results)
if name == ""main"":
    import asyncio
    asyncio.run(main())Copy to clipboardErrorCopied
Previous
Topic modeling
Next
RAG with the CLI)"
Scraping_with_Google_Sheets.md,"Scraping with Google Sheets
-------------------------------------------------------------------------------------------
[](https://youtu.be/eYQEk7XJM7s)
You’ll learn how to import tables on the web using Google Sheets’s =IMPORTHTML() formula, covering:
 Import HTML Formula: Use =IMPORTHTML(URL, “query”, index) to fetch tables or lists from a web page.
 Granting Access: Allow access for formulas to fetch data from external sources.
 Checking Imported Data: Verify if the imported table matches the data on the web page.
 Handling Errors: Understand common issues and how to resolve them.
 Sorting Data: Copy imported data as values and sort it within Google Sheets.
 Freezing Rows: Use frozen rows to maintain headers while sorting.
 Live Formulas: Learn how web data updates automatically when the source changes.
 Other Import Functions: IMPORTXML, IMPORTFEED, IMPORTRANGE, and IMPORTDATA for advanced data fetching options.
Here are links used in the video:
 Google sheet used in the video
 IMPORTHTML()
 IMPORTXML()
 Demographics of India
 List of highest grossing Indian films
Previous
Scraping with Excel
Next
Crawling with the CLI"
